claim_id,location,claim_type,quantity,value_paper,digits,operator,mode,needs_block,notes
sim_obs_per_period,"Simulations, p. 831",definitional,Observations sampled per period in the illustrative simulations,100,0,,,TRUE,
sim_periods,"Simulations, p. 831",definitional,Number of periods in the illustrative simulations,10,0,,,TRUE,
sim_arms,"Simulations, p. 831",definitional,Number of arms in the illustrative simulations,9,0,,,TRUE,
sim_iterations,"Simulations, p. 831",definitional,Simulated experiments behind Table 1,10000,0,,,TRUE,
ci_level,"Hypothesis testing, p. 831",definitional,Confidence level used throughout,0.95,2,,,TRUE,
case1_best_rate,"Figure 1 note, p. 832",definitional,Case 1 best arm success rate,0.2,1,,,FALSE,"A design input to the simulation, set in simulations_illustrative.R and verified at the point of use."
case1_other_rate,"Figure 1 note, p. 832",definitional,Case 1 other arms' success rate,0.1,1,,,FALSE,"A design input to the simulation, set in simulations_illustrative.R and verified at the point of use."
case2_best_rate,"Figure 1 note, p. 832",definitional,Case 2 best arm success rate,0.11,2,,,FALSE,"A design input to the simulation, set in simulations_illustrative.R and verified at the point of use."
case3_best_rate,"Figure 1 note, p. 832",definitional,Case 3 best arm success rate,0.2,1,,,FALSE,"A design input to the simulation, set in simulations_illustrative.R and verified at the point of use."
case3_second_rate,"Figure 1 note, p. 832",definitional,Case 3 second best arm success rate,0.18,2,,,FALSE,"A design input to the simulation, set in simulations_illustrative.R and verified at the point of use."
control_prob_cap,"Control-augmented algorithm, p. 830",definitional,Cap on the control arm's assignment probability,0.90,2,,,FALSE,Set in ca_sampling_probs() in helpers.R and verified at the point of use.
control_catchup_example,"Control-augmented algorithm, p. 830",definitional,Worked example: share of the batch going to control,0.30,2,,,FALSE,A worked arithmetic example in the article's own prose; nothing in the deposit computes it.
fig1_case1_ts_best,"Results of simulations, p. 832",pipeline,"Case 1 posterior probability of the true best arm, Thompson sampling",0.90,2,,,TRUE,
fig1_case1_static_best,"Results of simulations, p. 832",pipeline,"Case 1 posterior probability of the true best arm, static",0.61,2,,,TRUE,"The article prints .61 without a leading zero; stored with one, per the house rule."
fig1_case2_ts_best,"Results of simulations, p. 832",pipeline,"Case 2 posterior probability of the true best arm, Thompson sampling",0.13,2,,,TRUE,
fig1_case2_ts_inferior,"Results of simulations, p. 832",pipeline,"Case 2 highest posterior probability of an inferior arm, Thompson sampling",0.24,2,,,TRUE,
fig1_case2_static_best,"Results of simulations, p. 833",pipeline,"Case 2 posterior probability of the true best arm, static",0.06,2,,,TRUE,
fig1_case2_static_inferior,"Results of simulations, p. 833",pipeline,"Case 2 highest posterior probability of an inferior arm, static",0.36,2,,,TRUE,
fig1_case3_ts_best,"Results of simulations, p. 833",pipeline,"Case 3 posterior probability of the true best arm, Thompson sampling",0.88,2,,,TRUE,
fig1_case3_ts_second,"Results of simulations, p. 833",pipeline,"Case 3 posterior probability of the second best arm, Thompson sampling",0.04,2,,,TRUE,
fig1_case3_static_second,"Results of simulations, p. 833",pipeline,"Case 3 posterior probability of the second best arm, static",0.66,2,,,TRUE,
fig1_case3_static_best,"Results of simulations, p. 833",pipeline,"Case 3 posterior probability of the true best arm, static",0.24,2,,,TRUE,
s1_n,"Study 1 design, p. 834",definitional,Subjects recruited for study 1,1000,0,,,TRUE,
s1_ts_prob,"Study 1 design, p. 834",definitional,Probability of assignment by Thompson sampling,0.90,2,,,FALSE,A property of the fielded design; the deposited data record the realised weights rather than the composite rule.
s1_srs_prob,"Study 1 design, p. 834",definitional,Probability of assignment by balanced simple random assignment,0.10,2,,,FALSE,A property of the fielded design; the deposited data record the realised weights rather than the composite rule.
s1_mw_arms,"Study 1 design, p. 834",definitional,Minimum wage treatment arms,10,0,,,TRUE,
s1_rtw_arms,"Study 1 design, p. 835",definitional,Right-to-work treatment arms,8,0,,,TRUE,Spelled out in the article as 'eight unique right-to-work treatments'.
s1_payment,"Study 1 design, p. 835",definitional,"Payment per subject, in dollars",1,0,,,FALSE,The deposited data carry no payment field.
s1_field_dates,"Study 1 design, p. 835",structural,"Field period, June 21 to June 30, 2018",2018,0,,,FALSE,The deposited data carry batch numbers but no timestamps.
s1_mw_top_posterior,"Study 1 results, p. 835",pipeline,Minimum wage leading arm's posterior probability of being best,0.219,3,,,TRUE,
s1_mw_top_mean,"Study 1 results, p. 835",pipeline,Minimum wage leading arm's estimated mean,0.895,3,,,TRUE,
s1_mw_top_n,"Study 1 results, p. 835",pipeline,Respondents assigned to the minimum wage leading arm,183,0,,,TRUE,
s1_mw_arms_below_08,"Study 1 results, p. 835",descriptive,Minimum wage arms with a success rate under 0.8,2,0,==,,TRUE,The article spells this as 'only two had success rates under 0.8'.
s1_mw_f_p,"Study 1 results, p. 835",pipeline,Minimum wage randomization inference F-test p-value,0.429,3,,,TRUE,
s1_rtw_top_posterior,"Study 1 results, p. 835",pipeline,Right-to-work leading arm's posterior probability of being best,0.906,3,,,TRUE,
s1_rtw_second_posterior,"Study 1 results, p. 835",pipeline,Right-to-work second arm's posterior probability of being best,0.085,3,,,TRUE,
s1_rtw_top_mean,"Study 1 results, p. 835",pipeline,Right-to-work leading arm's estimated mean,0.926,3,,,TRUE,
s1_rtw_second_mean,"Study 1 results, p. 835",pipeline,Right-to-work second arm's estimated mean,0.934,3,,,TRUE,
