entry,class,source,form,title,location,published,corrected,note,claim_ids,corrected_values
1,quantity,pipeline,full,The estimated mean of the leading minimum wage arm,published p. 835,"The winning arm, by a hair, was Proposal 3 ([[B]], without current minimum wage), with a probability of being best of 0.219 and an estimated mean of [[0.895]] over 183 respondents.","The winning arm, by a hair, was Proposal 3 ([[N]], without current minimum wage), with a probability of being best of 0.219 and an estimated mean of [[0.865]] over 183 respondents.","The arm with a 0.219 probability of being best and 183 respondents is Proposal 3 (N), whose inverse-probability-weighted mean is 0.865. The 0.895 printed in the sentence is Figure 4's estimate for Proposal 3 (Y), a different arm, which drew 121 respondents and ended with a 0.120 probability of being best. Figures 3 and 4 label the two versions of each minimum wage proposal ""(Y)"" and ""(N)"", so the ""B"" in the parenthesis is also an ""N"".",s1_mw_top_mean,0.865
2,label,pipeline,full,The arm carrying the 4.1-point Republican effect,published p. 840,"In this particular case, the adaptive design with the smaller standard error allows us to declare the 4.1-point average effect of the [[accuracy]] treatment statistically significant (p = 0.014), whereas under that static design the effect would not have attained statistical significance (p = 0.152).","In this particular case, the adaptive design with the smaller standard error allows us to declare the 4.1-point average effect of the [[Lottery]] treatment statistically significant (p = 0.014), whereas under that static design the effect would not have attained statistical significance (p = 0.152).","Figure 6 gives the Republican Lottery arm an effect of 4.1 percentage points with a p-value of 0.014. The Accuracy arm's Republican estimate is -5.3 percentage points, in the opposite direction, with a p-value of 0.314. The two preceding sentences and Figure 5 both identify the Lottery as the arm in question. The static-design p-value of 0.152 is left as printed: it comes from a bootstrap the deposited materials do not seed reproducibly, and the reproduction cannot recompute it.",s2_rep_4pt_arm;s2_rep_static_p,NA
3,quantity,pipeline,full,The share of static minimum wage simulations picking the best proposal,published p. 837,"Treating observed success rates as the truth in simulations of the minimum wage experiment, we picked the best proposal 47% of the time in adaptive experiments and [[37%]] of the time in static experiments.","Treating observed success rates as the truth in simulations of the minimum wage experiment, we picked the best proposal 47% of the time in adaptive experiments and [[36.5%]] of the time in static experiments.","The deposited simulations pick the best minimum wage proposal in 36.46 per cent of 10,000 static runs, which is 36 per cent at the whole-percentage precision the sentence uses. Rounding to one decimal first gives 36.5, and rounding that again gives 37. The other three shares in the same passage round correctly.",s1_mw_correct_static,36.5%
4,quantity,pipeline,full,The two randomization inference p-values are transposed,published p. 840; published p. 841,"Using randomization inference, we reject the null of no difference across treatments (p = [[0.028]]).

Using randomization inference, we again reject the null (p = [[0.013]]).","Using randomization inference, we reject the null of no difference across treatments (p = [[0.015]]).

Using randomization inference, we again reject the null (p = [[0.021]]).","The first sentence is about the Republican trial and the second about the Democratic one. Run on the deposited data, the deposit's own script returns the published pair with the parties exchanged: 0.013 for the Republicans and 0.028 for the Democrats. The observed F statistics settle which way round it belongs: the Republican F is 2.31 against the Democratic 1.93, and the larger F takes the smaller p-value, so the smaller of the two p-values is the Republicans'. Both nulls are still rejected at conventional levels and no conclusion changes; only the two numbers swap places.

The corrected values are this reproduction's own, from a seeded run of the deposited procedure at 1,000 iterations. They differ in the third decimal from the deposit's unseeded run, which is the sampling variation the procedure carries.",s2_rep_ri_p;s2_dem_ri_p,0.015;0.021
5,bibliographic,reference_audit,brief,Pallmann et al. (2018) skips its ninth author and runs two words of its title together,published p. 844,"Pallmann, Philip, Alun W. Bedding, Babak Choodari-Oskooei, Munyaradzi Dimairo, Laura  Flight, Lisa V. Hampson, Jane Holmes, Adrian P. Mander, Matthew R. Sydes, Sofía S.  Villar, et al. 2018. ""Adaptive Designs in Clinical Trials: Why [[UseThem]], and How  to Run and Report Them."" BMC Medicine 16(1): 29.","Pallmann, Philip, Alun W. Bedding, Babak Choodari-Oskooei, Munyaradzi Dimairo, Laura  Flight, Lisa V. Hampson, Jane Holmes, Adrian P. Mander, [[Lang'o Odondi]], Matthew R.  Sydes, Sofía S. Villar, et al. 2018. ""Adaptive Designs in Clinical Trials: Why [[Use  Them]], and How to Run and Report Them."" BMC Medicine 16(1): 29.","Two defects in one entry. The names it prints ninth and tenth are the article's tenth and eleventh authors: Lang'o Odondi is skipped, so the entry is not the first ten authors of anything. Crossref, doi 10.1186/s12916-018-1017-7: Pallmann, Bedding, Choodari-Oskooei, Dimairo, Flight, Hampson, Holmes, Mander, Odondi, Sydes, Villar, Wason, Weir, Wheeler, Yap, Jaki. The insertion is marked on the corrected side only, since no span of the published list is wrong in itself. The title's ""Use Them"" is set without its space, which the rendered page confirms rather than the text extraction.",,NA
6,notation,proof_audit,full,The independence that warrants the Horvitz-Thompson factorisation names the realized outcome,published appendix p. 8,"And because [[$Y_i$]] $\perp\!\!\!\perp K_i \mid S_i$,","And because [[$Y_i(k)$]] $\perp\!\!\!\perp K_i \mid S_i$,","The realized outcome is $Y_i = \sum_k \mathbf{1}\{K_i = k\} Y_i(k)$, a deterministic function of the assignment and the potential outcomes, so it is never independent of $K_i$ given $S_i$ once treatment has an effect. The condition the proof needs is independence of the *potential* outcome, $Y_i(k) \perp\!\!\!\perp K_i \mid S_i$, which is what B.2 assumes two paragraphs earlier and what B.3 assumes again. The expression being factored on this line already carries $Y_i(k)$ rather than $Y_i$, so the step is valid and only its stated warrant is wrong. No other line of B.2 is affected and the unbiasedness result stands.",,NA
7,derivation,proof_audit,full,The variance of the control-augmented estimator drops the covariance between its two terms,published appendix p. 10,$\operatorname{Var}\left[\hat\tau_k^{HT} \mid S_i\right] = \frac{1}{N^2} \sum_{i=1}^N \operatorname{Var}\left[Y_i(k) \frac{\mathbf{1}\{K_i = k\}}{\pi_i(k; S_i)} \;\middle|\; S_i\right] + \frac{1}{N^2} \sum_{i=1}^N \operatorname{Var}\left[Y_i(0) \frac{\mathbf{1}\{K_i = 0\}}{\pi_i(0; S_i)} \;\middle|\; S_i\right]$,$\operatorname{Var}\left[\hat\tau_k^{HT} \mid S_i\right] = \frac{1}{N^2} \sum_{i=1}^N \operatorname{Var}\left[Y_i(k) \frac{\mathbf{1}\{K_i = k\}}{\pi_i(k; S_i)} \;\middle|\; S_i\right] + \frac{1}{N^2} \sum_{i=1}^N \operatorname{Var}\left[Y_i(0) \frac{\mathbf{1}\{K_i = 0\}}{\pi_i(0; S_i)} \;\middle|\; S_i\right]$ [[$+\; \frac{2}{N^2} \sum_{i=1}^N \Pr[Y_i(k) = 1] \Pr[Y_i(0) = 1]$]],"$\hat\tau_k^{HT}$ is a difference of two Horvitz-Thompson means, so its variance carries $-2\operatorname{Cov}$ and the display is a sum of two variances with nothing in that place. The covariance does not vanish. Within a unit the two indicators are mutually exclusive, so the product of the two terms is identically zero and their conditional covariance is $-\Pr[Y_i(k) = 1]\Pr[Y_i(0) = 1]$, which enters the variance with the opposite sign. The printed expression therefore understates the variance by the term shown. 

 **Neither conclusion drawn from the display moves.** The missing term is free of the assignment probabilities, so it leaves the minimisation untouched: minimising $\Pr[Y_i(k) = 1]/\pi_i(k; S_i) + \Pr[Y_i(0) = 1]/\pi_i(0; S_i)$ at fixed total probability still gives probabilities proportional to the square roots of the success rates, and the comparison against the static design at $1/(K+1)$ still favours the adaptive design for $K > 1$. Entry 8 corrects the same display's conditioning and the two compose: the term added here is the one that survives into the unconditional variance entry 8 states.",,NA
8,derivation,proof_audit,full,The variance display conditions on one unit's history while summing over all of them,published appendix p. 10,"[[Conditional on history, the]] variance can be expressed as, [[$\operatorname{Var}\left[\hat\tau_k^{HT} \mid S_i\right]$]]$\; = \;$ $\frac{1}{N^2} \sum_{i=1}^N \operatorname{Var}\left[\,\cdot\,\middle|\; S_i\right] + \cdots$","[[Because the summands are a martingale difference sequence with respect to the history, the]] variance can be expressed as, [[$\operatorname{Var}\left[\hat\tau_k^{HT}\right]$]]$\; = \;$ $\frac{1}{N^2} \sum_{i=1}^N \mathrm{E}\operatorname{Var}\left[\,\cdot\,\middle|\; S_i\right] + \cdots$","The index $i$ is free on the left of the printed equality and bound by the sum on the right. Neither reading of the conditioning supports the display. Conditioning on one unit's history cannot license summing per-unit variances, because under adaptive assignment the units are dependent; conditioning on the whole history leaves only the last unit random, and the sum collapses to a single term. 

 **The sum-of-variances structure is nonetheless right, for the unconditional variance.** Under the constant means the section assumes, $\mathrm{E}$ of each summand given the history is the constant $\tau_k$, so the centred summands are a martingale difference sequence and every cross-unit covariance is zero. What the section needs is that argument rather than a conditioning bar. The right-hand side is abbreviated above because entry 7 is what changes it; the two entries mark disjoint spans of one display and are applied together.",,NA
9,wording,proof_audit,full,"""The product of two binomials is also a binomial""",published appendix p. 10,"The $Y_i(k)$ and $\mathbf{1}\{K_i = k\}$ terms are independent [[binomials]], and the product of two [[binomials]] is also a [[binomial]], and so we express the variance of their product accordingly.","The $Y_i(k)$ and $\mathbf{1}\{K_i = k\}$ terms are independent [[Bernoullis]], and the product of two [[Bernoullis]] is also a [[Bernoulli]], and so we express the variance of their product accordingly.","As a claim about the binomial distribution the sentence is false: the product of two $\text{Binomial}(n, p)$ variables with $n > 1$ is not binomial. It holds for the Bernoulli case, which is the only one used here and the one the section's constant-means assumption sets up, and the display that follows is correct. Writing $p = \Pr[Y_i(k) = 1 \mid S_i]$ and $q = \Pr[K_i = k \mid S_i]$, the product is $\text{Bernoulli}(pq)$ with variance $pq(1 - pq)$, which is what is printed. Only the word is wrong.",,NA
10,typographic,proof_audit,brief,"""ams"" for ""arms""",published appendix p. 11,"They show regret as a function of the expected sum of assignments to suboptimal arms, multiplied by the difference between the best arm mean and the mean under [[ams]] $k \neq k^{*}$.","They show regret as a function of the expected sum of assignments to suboptimal arms, multiplied by the difference between the best arm mean and the mean under [[arms]] $k \neq k^{*}$.","A dropped letter. The sentence is otherwise right, and so is the claim it leads to: the expected number of plays of suboptimal arms under Thompson sampling grows as $O(\ln N)$ against $O(N)$, that being $N/(K+1)$, under a random design.",,NA
